id_pedido,data_compra,regiao_destino,categoria,valor_venda,custo_produto,custo_frete,peso_kg,data_previsao_entrega,data_entrega_real,status_pedido,receita_liquida,lucro_bruto,margem_lucro_pct,custo_frete_por_kg,dias_prazo_prometido,dias_transito_real,cumpriram_sla,status_sla_detalhado
PED-10020,2026-06-27,Sudeste,Vestuário,838.5,379.41,142.04,49.12,2026-07-02,,Em Transito,459.09,317.04999999999995,37.81,2.89,5,,0,Em Trânsito
PED-10021,2026-05-20,Centro-Oeste,Ferramentas,3095.1,1413.26,85.1,14.3,2026-05-24,2026-05-24,Entregue,1681.84,1596.74,51.59,5.95,4,4.0,1,Entregue no Prazo
PED-10022,2026-06-01,Norte,Vestuário,3277.94,2083.47,164.27,33.61,2026-06-05,2026-06-05,Entregue,1194.4700000000003,1030.2000000000003,31.43,4.89,4,4.0,1,Entregue no Prazo
PED-10023,2026-04-20,Sudeste,Móveis,2437.04,1451.47,42.16,11.6,2026-04-22,,Em Transito,985.5699999999999,943.41,38.71,3.63,2,,0,Em Trânsito
PED-10024,2026-05-28,Sul,Eletrônicos,1112.81,626.25,104.17,25.69,2026-06-04,,Cancelado,486.55999999999995,382.38999999999993,34.36,4.05,7,,0,Cancelado
PED-10025,2026-01-27,Sudeste,Ferramentas,1784.1,1022.42,106.86,24.88,2026-02-02,,Em Transito,761.68,654.8199999999999,36.7,4.3,6,,0,Em Trânsito
PED-10026,2026-02-04,Nordeste,Eletrônicos,3481.2,1883.27,79.13,14.34,2026-02-11,2026-02-17,Entregue,1597.9299999999998,1518.7999999999997,43.63,5.52,7,13.0,0,Entregue com Atraso
PED-10027,2026-02-15,Centro-Oeste,Vestuário,3432.14,1450.44,52.53,15.63,2026-02-23,2026-02-23,Entregue,1981.6999999999998,1929.1699999999998,56.21,3.36,8,8.0,1,Entregue no Prazo
PED-10028,2026-02-23,Sudeste,Vestuário,2016.71,865.48,103.32,30.94,2026-03-02,2026-03-01,Entregue,1151.23,1047.91,51.96,3.34,7,6.0,1,Entregue no Prazo
PED-10029,2026-05-17,Sul,Ferramentas,1072.96,564.31,33.1,13.18,2026-05-26,,Cancelado,508.6500000000001,475.55000000000007,44.32,2.51,9,,0,Cancelado
PED-10030,2026-02-05,Centro-Oeste,Alimentos,2292.38,1399.7,84.72,39.89,2026-02-18,2026-02-20,Entregue,892.6800000000001,807.96,35.25,2.12,13,15.0,0,Entregue com Atraso
PED-10031,2026-02-01,Sul,Eletrônicos,584.89,406.24,84.01,42.03,2026-02-12,2026-02-12,Entregue,178.64999999999998,94.63999999999997,16.18,2.0,11,11.0,1,Entregue no Prazo
PED-10032,2026-07-07,Centro-Oeste,Eletrônicos,2906.15,1399.2,208.27,48.28,2026-07-15,,Em Transito,1506.95,1298.68,44.69,4.31,8,,0,Em Trânsito
PED-10033,2026-04-04,Sul,Alimentos,507.97,350.94,101.73,35.87,2026-04-08,2026-04-12,Entregue,157.03000000000003,55.300000000000026,10.89,2.84,4,8.0,0,Entregue com Atraso
PED-10034,2026-07-02,Sudeste,Ferramentas,685.95,291.02,64.64,21.7,2026-07-15,,Cancelado,394.93000000000006,330.2900000000001,48.15,2.98,13,,0,Cancelado
PED-10035,2026-02-03,Nordeste,Ferramentas,1015.77,697.29,117.11,37.03,2026-02-09,,Cancelado,318.48,201.37,19.82,3.16,6,,0,Cancelado
PED-10036,2026-05-24,Sul,Ferramentas,464.57,233.48,20.55,5.04,2026-05-26,,Em Transito,231.09,210.54,45.32,4.08,2,,0,Em Trânsito
PED-10037,2026-06-25,Centro-Oeste,Alimentos,647.55,343.3,99.38,20.23,2026-07-06,,Cancelado,304.24999999999994,204.86999999999995,31.64,4.91,11,,0,Cancelado
PED-10038,2026-05-18,Sudeste,Vestuário,1785.82,1173.19,158.53,33.11,2026-05-23,2026-05-21,Entregue,612.6299999999999,454.0999999999999,25.43,4.79,5,3.0,1,Entregue no Prazo
PED-10039,2026-03-25,Norte,Móveis,2028.12,889.43,163.72,40.65,2026-04-06,,Cancelado,1138.69,974.97,48.07,4.03,12,,0,Cancelado
PED-10040,2026-06-17,Sudeste,Vestuário,725.48,305.29,33.45,5.49,2026-06-20,,Cancelado,420.19,386.74,53.31,6.09,3,,0,Cancelado
PED-10041,2026-03-22,Sudeste,Ferramentas,2964.82,1206.63,163.05,40.82,2026-04-01,,Em Transito,1758.19,1595.14,53.8,3.99,10,,0,Em Trânsito
PED-10042,2026-03-16,Centro-Oeste,Alimentos,1491.91,1029.83,138.09,27.62,2026-03-22,2026-03-26,Entregue,462.08000000000015,323.9900000000001,21.72,5.0,6,10.0,0,Entregue com Atraso
PED-10043,2026-02-05,Sudeste,Eletrônicos,2728.62,1370.43,154.81,46.57,2026-02-11,,Em Transito,1358.1899999999998,1203.3799999999999,44.1,3.32,6,,0,Em Trânsito
PED-10044,2026-04-09,Nordeste,Eletrônicos,1893.43,1039.43,63.01,19.79,2026-04-23,2026-04-23,Entregue,854.0,790.99,41.78,3.18,14,14.0,1,Entregue no Prazo
PED-10045,2026-05-27,Norte,Eletrônicos,1151.63,788.89,96.82733333333333,47.56,2026-05-31,2026-05-31,Entregue,362.7400000000001,265.9126666666668,23.09,2.04,4,4.0,1,Entregue no Prazo
PED-10046,2026-06-29,Sul,Ferramentas,2645.69,1686.56,129.26,39.59,2026-07-13,,Cancelado,959.1300000000001,829.8700000000001,31.37,3.26,14,,0,Cancelado
PED-10047,2026-05-02,Centro-Oeste,Vestuário,3112.58,1572.71,23.03,6.29,2026-05-15,2026-05-13,Entregue,1539.87,1516.84,48.73,3.66,13,11.0,1,Entregue no Prazo
PED-10048,2026-05-21,Sudeste,Eletrônicos,2885.42,1765.51,29.29,4.53,2026-05-27,2026-05-31,Entregue,1119.91,1090.6200000000001,37.8,6.47,6,10.0,0,Entregue com Atraso
PED-10049,2026-05-25,Nordeste,Ferramentas,2649.15,1358.69,33.19,4.63,2026-06-08,,Em Transito,1290.46,1257.27,47.46,7.17,14,,0,Em Trânsito
PED-10050,2026-03-31,Sul,Vestuário,925.2,482.55,97.31026315789474,28.79,2026-04-05,,Em Transito,442.65000000000003,345.3397368421053,37.33,3.38,5,,0,Em Trânsito
PED-10051,2026-06-16,Nordeste,Vestuário,2062.62,1420.43,77.53,19.06,2026-06-18,2026-06-22,Entregue,642.1899999999998,564.6599999999999,27.38,4.07,2,6.0,0,Entregue com Atraso
PED-10052,2026-02-27,Norte,Ferramentas,3396.08,1402.4,211.28,44.61,2026-03-06,,Cancelado,1993.6799999999998,1782.3999999999999,52.48,4.74,7,,0,Cancelado
PED-10053,2026-05-27,Norte,Eletrônicos,1854.69,1092.08,143.15,34.94,2026-05-29,,Cancelado,762.6100000000001,619.4600000000002,33.4,4.1,2,,0,Cancelado
PED-10054,2026-07-04,Sul,Alimentos,3357.52,1401.29,63.61,20.03,2026-07-13,,Em Transito,1956.23,1892.6200000000001,56.37,3.18,9,,0,Em Trânsito
PED-10055,2026-06-13,Sudeste,Móveis,841.41,403.69,44.88,18.34,2026-06-18,2026-06-19,Entregue,437.71999999999997,392.84,46.69,2.45,5,6.0,0,Entregue com Atraso
PED-10056,2026-06-06,Centro-Oeste,Vestuário,2887.75,1977.94,171.45,36.42,2026-06-16,2026-06-20,Entregue,909.81,738.3599999999999,25.57,4.71,10,14.0,0,Entregue com Atraso
PED-10057,2026-01-05,Nordeste,Eletrônicos,1707.28,1187.56,97.74,19.15,2026-01-16,2026-01-17,Entregue,519.72,421.98,24.72,5.1,11,12.0,0,Entregue com Atraso
PED-10058,2026-06-10,Sudeste,Eletrônicos,1481.13,713.94,42.95,3.29,2026-06-17,,Em Transito,767.19,724.24,48.9,13.05,7,,0,Em Trânsito
PED-10059,2026-04-12,Sul,Ferramentas,2068.77,1278.16,97.31026315789474,37.98,2026-04-16,2026-04-16,Entregue,790.6099999999999,693.2997368421052,33.51,2.56,4,4.0,1,Entregue no Prazo
PED-10060,2026-02-20,Centro-Oeste,Ferramentas,764.94,507.51,98.0,37.97,2026-02-23,,Em Transito,257.43000000000006,159.43000000000006,20.84,2.58,3,,0,Em Trânsito
PED-10061,2026-06-11,Sul,Vestuário,1111.83,717.04,102.65,48.41,2026-06-23,2026-06-21,Entregue,394.78999999999996,292.14,26.28,2.12,12,10.0,1,Entregue no Prazo
PED-10062,2026-03-26,Sudeste,Vestuário,784.73,346.0,25.26,1.22,2026-04-02,2026-04-01,Entregue,438.73,413.47,52.69,20.7,7,6.0,1,Entregue no Prazo
PED-10063,2026-06-28,Sudeste,Alimentos,1938.69,1037.73,189.66,45.57,2026-07-06,2026-07-06,Entregue,900.96,711.3000000000001,36.69,4.16,8,8.0,1,Entregue no Prazo
PED-10064,2026-05-18,Nordeste,Móveis,2702.77,1134.81,21.22,2.77,2026-05-25,,Cancelado,1567.96,1546.74,57.23,7.66,7,,0,Cancelado
PED-10065,2026-02-12,Sul,Vestuário,1903.56,1024.18,77.16,29.45,2026-02-24,,Em Transito,879.3799999999999,802.2199999999999,42.14,2.62,12,,0,Em Trânsito
PED-10066,2026-07-14,Sul,Vestuário,2353.07,1062.87,35.68,10.02,2026-07-18,,Cancelado,1290.2000000000003,1254.5200000000002,53.31,3.56,4,,0,Cancelado
PED-10067,2026-03-02,Centro-Oeste,Eletrônicos,1893.76,959.75,99.16,44.76,2026-03-04,2026-03-10,Entregue,934.01,834.85,44.08,2.22,2,8.0,0,Entregue com Atraso
PED-10068,2026-02-25,Sul,Ferramentas,58.95,38.94,41.6,4.68,2026-03-01,,Cancelado,20.010000000000005,-21.589999999999996,-36.62,8.89,4,,0,Cancelado
PED-10069,2026-02-25,Sudeste,Alimentos,1322.75,712.65,160.44,37.5,2026-03-09,2026-03-11,Entregue,610.1,449.66,33.99,4.28,12,14.0,0,Entregue com Atraso
PED-10070,2026-04-17,Norte,Ferramentas,3041.89,1539.94,62.54,20.16,2026-04-27,,Cancelado,1501.9499999999998,1439.4099999999999,47.32,3.1,10,,0,Cancelado
PED-10071,2026-01-17,Sudeste,Alimentos,854.6,429.76,83.51,23.96,2026-01-28,2026-02-03,Entregue,424.84000000000003,341.33000000000004,39.94,3.49,11,17.0,0,Entregue com Atraso
PED-10072,2026-04-21,Sudeste,Eletrônicos,1997.38,1025.92,58.37,17.2,2026-04-26,2026-04-25,Entregue,971.46,913.09,45.71,3.39,5,4.0,1,Entregue no Prazo
PED-10073,2026-07-17,Centro-Oeste,Eletrônicos,868.43,373.89,44.46,8.07,2026-07-25,,Em Transito,494.53999999999996,450.08,51.83,5.51,8,,0,Em Trânsito
PED-10074,2026-04-04,Nordeste,Vestuário,1859.56,972.77,243.9,49.13,2026-04-11,2026-04-11,Entregue,886.79,642.89,34.57,4.96,7,7.0,1,Entregue no Prazo
PED-10075,2026-05-14,Nordeste,Vestuário,2881.97,1773.96,72.08,26.98,2026-05-25,2026-05-25,Entregue,1108.0099999999998,1035.9299999999998,35.95,2.67,11,11.0,1,Entregue no Prazo
PED-10076,2026-01-19,Norte,Eletrônicos,2590.05,1447.71,135.82,35.51,2026-01-26,,Cancelado,1142.3400000000001,1006.5200000000002,38.86,3.82,7,,0,Cancelado
PED-10077,2026-03-18,Sul,Vestuário,228.79,114.62,43.84,7.15,2026-03-26,2026-03-25,Entregue,114.16999999999999,70.32999999999998,30.74,6.13,8,7.0,1,Entregue no Prazo
PED-10078,2026-03-06,Centro-Oeste,Eletrônicos,2672.79,1546.72,121.52,23.84,2026-03-14,2026-03-12,Entregue,1126.07,1004.55,37.58,5.1,8,6.0,1,Entregue no Prazo
PED-10079,2026-06-27,Centro-Oeste,Vestuário,3287.27,1493.64,28.05,3.79,2026-07-06,,Em Transito,1793.6299999999999,1765.58,53.71,7.4,9,,0,Em Trânsito
PED-10080,2026-04-15,Centro-Oeste,Alimentos,614.61,276.13,121.72,40.82,2026-04-27,2026-04-27,Entregue,338.48,216.76000000000002,35.27,2.98,12,12.0,1,Entregue no Prazo
PED-10081,2026-05-26,Sul,Ferramentas,1089.75,680.31,88.51,25.38,2026-06-05,2026-06-03,Entregue,409.44000000000005,320.93000000000006,29.45,3.49,10,8.0,1,Entregue no Prazo
PED-10082,2026-02-22,Sul,Vestuário,1538.77,769.15,164.72,36.66,2026-03-05,,Em Transito,769.62,604.9,39.31,4.49,11,,0,Em Trânsito
PED-10083,2026-06-04,Norte,Ferramentas,573.28,282.92,66.33,12.8,2026-06-12,2026-06-12,Entregue,290.35999999999996,224.02999999999997,39.08,5.18,8,8.0,1,Entregue no Prazo
PED-10084,2026-05-03,Sudeste,Eletrônicos,405.06,227.22,77.76,19.25,2026-05-17,,Em Transito,177.84,100.08,24.71,4.04,14,,0,Em Trânsito
PED-10085,2026-01-05,Centro-Oeste,Alimentos,2541.77,1565.76,115.89,32.24,2026-01-09,,Em Transito,976.01,860.12,33.84,3.59,4,,0,Em Trânsito
PED-10086,2026-03-10,Norte,Vestuário,3358.81,1688.67,57.69,11.75,2026-03-18,2026-03-22,Entregue,1670.1399999999999,1612.4499999999998,48.01,4.91,8,12.0,0,Entregue com Atraso
PED-10087,2026-04-21,Norte,Vestuário,3265.81,1860.01,139.74,34.98,2026-04-30,,Cancelado,1405.8,1266.06,38.77,3.99,9,,0,Cancelado
PED-10088,2026-04-02,Sudeste,Eletrônicos,1513.25,939.63,102.07,46.75,2026-04-09,2026-04-11,Entregue,573.62,471.55,31.16,2.18,7,9.0,0,Entregue com Atraso
PED-10089,2026-03-31,Norte,Eletrônicos,1195.91,590.1,55.52,11.76,2026-04-06,2026-04-06,Entregue,605.8100000000001,550.2900000000001,46.01,4.72,6,6.0,1,Entregue no Prazo
PED-10090,2026-04-27,Sudeste,Eletrônicos,444.22,232.93,134.62,43.24,2026-05-04,2026-05-06,Entregue,211.29000000000002,76.67000000000002,17.26,3.11,7,9.0,0,Entregue com Atraso
PED-10091,2026-01-17,Sul,Vestuário,1610.92,712.44,53.74,9.23,2026-01-25,,Em Transito,898.48,844.74,52.44,5.82,8,,0,Em Trânsito
PED-10092,2026-06-26,Centro-Oeste,Vestuário,2231.31,901.29,117.09,33.35,2026-07-04,2026-07-04,Entregue,1330.02,1212.93,54.36,3.51,8,8.0,1,Entregue no Prazo
PED-10093,2026-03-27,Norte,Ferramentas,686.4,336.25,80.54,15.84,2026-04-04,2026-04-08,Entregue,350.15,269.60999999999996,39.28,5.08,8,12.0,0,Entregue com Atraso
PED-10094,2026-01-29,Nordeste,Ferramentas,1353.15,880.86,109.72,29.58,2026-01-31,2026-01-30,Entregue,472.2900000000001,362.57000000000005,26.79,3.71,2,1.0,1,Entregue no Prazo
PED-10095,2026-04-24,Sul,Alimentos,677.65,446.26,180.61,47.33,2026-05-05,2026-05-05,Entregue,231.39,50.77999999999997,7.49,3.82,11,11.0,1,Entregue no Prazo
PED-10096,2026-03-28,Norte,Móveis,3041.13,1588.67,76.4,27.81,2026-04-01,2026-04-05,Entregue,1452.46,1376.06,45.25,2.75,4,8.0,0,Entregue com Atraso
PED-10097,2026-03-08,Sul,Eletrônicos,1970.69,1214.43,187.71,40.36,2026-03-17,2026-03-17,Entregue,756.26,568.55,28.85,4.65,9,9.0,1,Entregue no Prazo
PED-10098,2026-05-22,Sudeste,Móveis,345.0,159.52,30.29,1.81,2026-06-05,2026-06-05,Entregue,185.48,155.19,44.98,16.73,14,14.0,1,Entregue no Prazo
PED-10099,2026-05-09,Centro-Oeste,Alimentos,1208.74,782.7,90.64,18.47,2026-05-17,,Em Transito,426.03999999999996,335.4,27.75,4.91,8,,0,Em Trânsito
PED-10100,2026-05-17,Sudeste,Ferramentas,1065.91,729.65,190.09,38.3,2026-05-26,2026-05-30,Entregue,336.2600000000001,146.1700000000001,13.71,4.96,9,13.0,0,Entregue com Atraso
PED-10101,2026-04-24,Sul,Eletrônicos,976.94,549.52,127.88,31.86,2026-05-02,2026-05-03,Entregue,427.4200000000001,299.5400000000001,30.66,4.01,8,9.0,0,Entregue com Atraso
PED-10102,2026-06-03,Sudeste,Ferramentas,642.29,309.39,88.96188596491228,1.41,2026-06-06,,Cancelado,332.9,243.9381140350877,37.98,63.09,3,,0,Cancelado
PED-10103,2026-02-03,Nordeste,Ferramentas,2297.4,1490.83,39.89,10.72,2026-02-14,,Cancelado,806.5700000000002,766.6800000000002,33.37,3.72,11,,0,Cancelado
PED-10104,2026-06-17,Sudeste,Alimentos,2234.19,1224.97,96.89,28.88,2026-06-19,2026-06-19,Entregue,1009.22,912.33,40.83,3.35,2,2.0,1,Entregue no Prazo
PED-10105,2026-03-05,Sudeste,Alimentos,3357.26,1528.6,38.68,4.97,2026-03-09,2026-03-09,Entregue,1828.6600000000003,1789.9800000000002,53.32,7.78,4,4.0,1,Entregue no Prazo
PED-10106,2026-06-13,Nordeste,Vestuário,1075.07,612.71,86.41,24.06,2026-06-22,,Cancelado,462.3599999999999,375.94999999999993,34.97,3.59,9,,0,Cancelado
PED-10107,2026-05-28,Sul,Vestuário,2953.28,1931.22,194.3,47.78,2026-06-09,2026-06-15,Entregue,1022.0600000000002,827.7600000000002,28.03,4.07,12,18.0,0,Entregue com Atraso
PED-10108,2026-02-09,Nordeste,Eletrônicos,1759.45,1067.14,48.21,22.02,2026-02-17,2026-02-17,Entregue,692.31,644.0999999999999,36.61,2.19,8,8.0,1,Entregue no Prazo
PED-10109,2026-06-28,Sudeste,Alimentos,1295.36,553.73,144.0,45.91,2026-07-12,2026-07-18,Entregue,741.6299999999999,597.6299999999999,46.14,3.14,14,20.0,0,Entregue com Atraso
PED-10110,2026-03-03,Sul,Ferramentas,2668.67,1647.19,109.53,32.04,2026-03-12,2026-03-11,Entregue,1021.48,911.95,34.17,3.42,9,8.0,1,Entregue no Prazo
PED-10111,2026-06-03,Nordeste,Ferramentas,2361.22,975.77,102.74,29.62,2026-06-05,2026-06-05,Entregue,1385.4499999999998,1282.7099999999998,54.32,3.47,2,2.0,1,Entregue no Prazo
PED-10112,2026-03-20,Centro-Oeste,Eletrônicos,714.47,310.5,102.62,21.38,2026-04-03,2026-04-03,Entregue,403.97,301.35,42.18,4.8,14,14.0,1,Entregue no Prazo
PED-10113,2026-04-13,Nordeste,Vestuário,1984.34,1080.11,141.68,44.31,2026-04-25,2026-04-27,Entregue,904.23,762.55,38.43,3.2,12,14.0,0,Entregue com Atraso
PED-10114,2026-04-30,Nordeste,Alimentos,2777.99,1376.84,76.93,31.48,2026-05-14,2026-05-13,Entregue,1401.1499999999999,1324.2199999999998,47.67,2.44,14,13.0,1,Entregue no Prazo
PED-10115,2026-06-07,Sul,Ferramentas,1874.83,1278.11,78.16,40.04,2026-06-15,,Em Transito,596.72,518.5600000000001,27.66,1.95,8,,0,Em Trânsito
PED-10116,2026-03-03,Centro-Oeste,Alimentos,2214.89,1466.49,175.6,49.21,2026-03-14,2026-03-16,Entregue,748.3999999999999,572.7999999999998,25.86,3.57,11,13.0,0,Entregue com Atraso
PED-10117,2026-06-26,Sul,Ferramentas,1273.45,619.12,75.09,15.17,2026-07-02,2026-06-30,Entregue,654.33,579.24,45.49,4.95,6,4.0,1,Entregue no Prazo
PED-10118,2026-05-23,Nordeste,Eletrônicos,2394.78,1114.71,102.38,47.52,2026-06-06,,Cancelado,1280.0700000000002,1177.69,49.18,2.15,14,,0,Cancelado
PED-10119,2026-07-03,Sul,Ferramentas,3462.69,2157.28,29.54,3.72,2026-07-12,,Em Transito,1305.4099999999999,1275.87,36.85,7.94,9,,0,Em Trânsito
PED-10120,2026-04-20,Sudeste,Vestuário,659.02,307.2,45.67,9.73,2026-04-24,,Cancelado,351.82,306.15,46.46,4.69,4,,0,Cancelado
PED-10121,2026-06-26,Nordeste,Vestuário,2110.6,1176.68,61.09,13.38,2026-06-30,2026-06-29,Entregue,933.9199999999998,872.8299999999998,41.35,4.57,4,3.0,1,Entregue no Prazo
PED-10122,2026-06-09,Sul,Ferramentas,822.17,461.31,95.26,29.85,2026-06-15,2026-06-21,Entregue,360.85999999999996,265.59999999999997,32.3,3.19,6,12.0,0,Entregue com Atraso
PED-10123,2026-01-29,Nordeste,Vestuário,3347.0,2204.46,165.97,40.57,2026-02-07,2026-02-07,Entregue,1142.54,976.5699999999999,29.18,4.09,9,9.0,1,Entregue no Prazo
PED-10124,2026-05-04,Sul,Ferramentas,218.3,122.2,110.21,48.13,2026-05-18,,Em Transito,96.10000000000001,-14.109999999999985,-6.46,2.29,14,,0,Em Trânsito
PED-10125,2026-02-09,Centro-Oeste,Ferramentas,3177.47,1815.59,163.55,33.27,2026-02-18,2026-02-16,Entregue,1361.8799999999999,1198.33,37.71,4.92,9,7.0,1,Entregue no Prazo
PED-10126,2026-06-17,Norte,Eletrônicos,592.83,265.66,82.67,17.03,2026-07-01,2026-07-01,Entregue,327.17,244.5,41.24,4.85,14,14.0,1,Entregue no Prazo
PED-10127,2026-06-15,Norte,Ferramentas,3089.0,2043.54,20.49,1.95,2026-06-23,2026-06-23,Entregue,1045.46,1024.97,33.18,10.51,8,8.0,1,Entregue no Prazo
PED-10128,2026-04-10,Sudeste,Ferramentas,1800.76,723.75,65.14,14.71,2026-04-22,2026-04-28,Entregue,1077.01,1011.87,56.19,4.43,12,18.0,0,Entregue com Atraso
PED-10129,2026-07-07,Centro-Oeste,Vestuário,493.15,239.18,31.29,1.41,2026-07-17,2026-07-17,Entregue,253.96999999999997,222.67999999999998,45.15,22.19,10,10.0,1,Entregue no Prazo
PED-10130,2026-04-06,Norte,Móveis,3318.18,1492.89,120.52,38.66,2026-04-08,2026-04-09,Entregue,1825.2899999999997,1704.7699999999998,51.38,3.12,2,3.0,0,Entregue com Atraso
PED-10131,2026-02-19,Centro-Oeste,Alimentos,2636.3,1157.4,76.04,38.03,2026-02-27,,Cancelado,1478.9,1402.8600000000001,53.21,2.0,8,,0,Cancelado
PED-10132,2026-03-20,Sul,Vestuário,2407.37,1284.98,58.04,14.04,2026-04-03,,Em Transito,1122.3899999999999,1064.35,44.21,4.13,14,,0,Em Trânsito
PED-10133,2026-02-08,Centro-Oeste,Ferramentas,1079.39,703.75,181.68,38.75,2026-02-13,2026-02-13,Entregue,375.6400000000001,193.9600000000001,17.97,4.69,5,5.0,1,Entregue no Prazo
PED-10134,2026-04-02,Centro-Oeste,Ferramentas,3187.86,2095.09,232.95,48.24,2026-04-06,2026-04-06,Entregue,1092.77,859.8199999999999,26.97,4.83,4,4.0,1,Entregue no Prazo
PED-10135,2026-05-04,Sudeste,Ferramentas,741.24,489.54,134.15,35.89,2026-05-07,,Em Transito,251.7,117.54999999999998,15.86,3.74,3,,0,Em Trânsito
PED-10136,2026-06-23,Nordeste,Eletrônicos,364.52,162.61,61.61,22.96,2026-06-26,,Em Transito,201.90999999999997,140.29999999999995,38.49,2.68,3,,0,Em Trânsito
PED-10137,2026-06-21,Centro-Oeste,Alimentos,3387.91,1543.66,79.23,23.37,2026-06-29,2026-06-29,Entregue,1844.2499999999998,1765.0199999999998,52.1,3.39,8,8.0,1,Entregue no Prazo
PED-10138,2026-07-07,Centro-Oeste,Ferramentas,2086.41,1105.74,102.39,49.23,2026-07-09,,Cancelado,980.6699999999998,878.2799999999999,42.1,2.08,2,,0,Cancelado
PED-10139,2026-04-20,Sul,Ferramentas,2661.85,1825.48,100.11,45.44,2026-05-02,2026-05-06,Entregue,836.3699999999999,736.2599999999999,27.66,2.2,12,16.0,0,Entregue com Atraso
PED-10140,2026-02-15,Norte,Alimentos,1243.76,786.98,100.06,47.09,2026-02-17,2026-02-16,Entregue,456.78,356.71999999999997,28.68,2.12,2,1.0,1,Entregue no Prazo
PED-10141,2026-06-10,Centro-Oeste,Alimentos,1284.41,637.87,204.6,48.88,2026-06-21,2026-06-20,Entregue,646.5400000000001,441.94000000000005,34.41,4.19,11,10.0,1,Entregue no Prazo
